message,label
stop fill your mind or to do list with an endless arrai of small task,procrastination
instead get in the habit of tickingthem off right when thei appear,procrastination
not onli will thi reduc how overwhelm you ar free up a lot of mental space and give you a small sens of accomplish but it will also get you in the habit of start and finish,procrastination
befor you know it get start on small task becomessecond natur,procrastination
and sooner or later that habit translat into the habit of get start on bigger task and projectstoo,procrastination
just follow thi simpl rule help you rewir your brain to get start on task get more thing done and procrastin less,procrastination
easi yet effect,procrastination
try thi set an implement intentionimplement intent ar simpl if then plan design to program your unconsci mind to act in a desir wai in a specif futur situat,procrastination
for the if part you pick a cue e,procrastination
a specif time a thought an emot or anyth els and for the then part you pick a desir action,procrastination
if situat xaris then i will perform respons y,procrastination
if such and such happen then i will do such and such,procrastination
if i get home from work then i ll cook a healthi dinner,procrastination
if i feel the urg to procrastin then i ll just ignor it,procrastination
these plan sound simpl and somewhat na ve but thei can be incred effect,procrastination
thei re sometim refer to as instant habit becaus of their power to unconsci guid our behavior in posit wai,procrastination
we llget more into the detailsin chapter five which is sole focus on implement intent,procrastination
for now let s form some implement intent design to help you get start,procrastination
note that it s not necessari to us the specif if then structur,procrastination
as long as you link a cue with a behavior you re good to go,procrastination
here ar a coupl of idea wheni get home from work todai then iwillimmedi pack my gym bag and head to the gym to do my workout,procrastination
if i catch myself think i ll feel more like it tomorrow then i lljust get start on some aspect of the task,procrastination
if i feel too tire to do someth then i lljust ignor it and get start anywai,procrastination
saturdai morn after breakfast i ll immedi start studi for my upcom math exam,procrastination
after watch minut of tv i ll immedi get start on writingmi dissert,procrastination
try thi focu on the process not the outcomean outcom is alwai the result of a process,procrastination
if you follow the right process long enough you will eventu achiev the outcom as a natur by product,procrastination
if you eat healthi sleep well and exercis regularli then you will lose weight,procrastination
if you write word everi dai then you will finish your book,procrastination
if you plai footbal everi dai then you will becom more skill at that sport,procrastination
if you studi for your exam for hour everi dai then youwil get good grade,procrastination
dure your journei from where you ar to where you want to go you can either focu on the process or the outcom,procrastination
if you re try to lose weight you can either step on the scale everi dai and measur your weight or you can forget about the scale and just focu on make sure that you eat healthi everi dai,procrastination
likewis if you re try to buildmoremuscl mass you can focu on your weight and what you look like in the mirror or you can trust the process and focu on eat well and go to the gym regularli,procrastination
when you re try to get start on an unapp difficult or otherwis uncomfort task it s best if you forget about the outcom and just focu on the process,procrastination
it s usual the outcom that is associ with neg emot not the process,procrastination
write a page novel the outcom scare the crap out of anyon,procrastination
write for to minut everi morn the process is a lot more appeal,procrastination
next time you re try to work on someth you tend to procrastin on simpli set a timer for to minut,procrastination
tell yourself you re go to work on thi thing for to minut,procrastination
that s it,procrastination
it s that easi,procrastination
it s noth to be scare of,procrastination
set a timer help you focu on the process and reduc a lot of the friction associ with get start,procrastination
you liter calm down your overact brain and help it stop worri about all the nonsens it tend to get caught up in,procrastination
in other word you stop scare your monkei and sooth it instead the neg emot associ with the outcom tend toget it all amp up,procrastination
you simplifi thing,procrastination
you make it easi,procrastination
and befor you know it you ve start and good thing ensu,procrastination
what product guru won t tell you about procrastin why time manag is onli part of the solutionsom peopl will tell you that procrastin is primarili a time manag issu,procrastination
don t listen to these peopl,procrastination
thei have no idea what thei re talk about,procrastination
procrastin at it veri core is an emot manag problem not a time manag problem,procrastination
let me give you an exampl to illustr why that s true,procrastination
there were time in the past where i would plan out mydai perfectli from a time manag perspect,procrastination
